Recovery Percentages for Each Country
------------------------------------

Country ID: 1, Cases: 2166, Recovered: 2, Recovery Percentage: 0.09%
Country ID: 2, Cases: 1930, Recovered: 1930, Recovery Percentage: 100.00%
Country ID: 3, Cases: 1403, Recovered: 1376, Recovery Percentage: 98.08%
Country ID: 4, Cases: 712, Recovered: 699, Recovery Percentage: 98.17%
Country ID: 5, Cases: 29, Recovered: 29, Recovery Percentage: 100.00%
Country ID: 6, Cases: 10, Recovered: 9, Recovery Percentage: 90.00%
Country ID: 7, Cases: 9, Recovered: 7, Recovery Percentage: 77.78%
Country ID: 8, Cases: 503302, Recovered: 379053, Recovery Percentage: 75.31%
Country ID: 9, Cases: 5393, Recovered: 5347, Recovery Percentage: 99.15%
Country ID: 10, Cases: 3550, Recovered: 438, Recovery Percentage: 12.34%
Country ID: 12, Cases: 6607, Recovered: 6559, Recovery Percentage: 99.27%
Country ID: 14, Cases: 5085, Recovered: 2703, Recovery Percentage: 53.16%
Country ID: 15, Cases: 6249, Recovered: 6239, Recovery Percentage: 99.84%
Country ID: 17, Cases: 3452, Recovered: 2449, Recovery Percentage: 70.94%
Country ID: 20, Cases: 7174, Recovered: 7150, Recovery Percentage: 99.67%
Country ID: 21, Cases: 6728, Recovered: 6606, Recovery Percentage: 98.19%
Country ID: 22, Cases: 901, Recovered: 896, Recovery Percentage: 99.45%
Country ID: 23, Cases: 6697, Recovered: 6633, Recovery Percentage: 99.04%
Country ID: 24, Cases: 25375, Recovered: 24006, Recovery Percentage: 94.60%
Country ID: 25, Cases: 18491, Recovered: 4225, Recovery Percentage: 22.85%
Country ID: 26, Cases: 17786, Recovered: 17264, Recovery Percentage: 97.07%
Country ID: 27, Cases: 15690, Recovered: 15427, Recovery Percentage: 98.32%
Country ID: 28, Cases: 15368, Recovered: 15200, Recovery Percentage: 98.91%
Country ID: 29, Cases: 11971, Recovered: 2761, Recovery Percentage: 23.06%
Country ID: 30, Cases: 10189, Recovered: 10086, Recovery Percentage: 98.99%
Country ID: 31, Cases: 9931, Recovered: 8890, Recovery Percentage: 89.52%
Country ID: 32, Cases: 17229, Recovered: 16907, Recovery Percentage: 98.13%
Country ID: 33, Cases: 8090, Recovered: 7783, Recovery Percentage: 96.21%
Country ID: 34, Cases: 11682, Recovered: 10476, Recovery Percentage: 89.68%
Country ID: 35, Cases: 18860, Recovered: 18685, Recovery Percentage: 99.07%
Country ID: 36, Cases: 12626, Recovered: 12189, Recovery Percentage: 96.54%
Country ID: 37, Cases: 19693, Recovered: 19358, Recovery Percentage: 98.30%
Country ID: 38, Cases: 9109, Recovered: 8939, Recovery Percentage: 98.13%
Country ID: 39, Cases: 9614, Recovered: 8929, Recovery Percentage: 92.87%
Country ID: 40, Cases: 7701, Recovered: 4874, Recovery Percentage: 63.29%
Country ID: 41, Cases: 12019, Recovered: 11976, Recovery Percentage: 99.64%
Country ID: 42, Cases: 11051, Recovered: 10905, Recovery Percentage: 98.68%
Country ID: 43, Cases: 23460, Recovered: 23102, Recovery Percentage: 98.47%
Country ID: 45, Cases: 16138, Recovered: 16121, Recovery Percentage: 99.89%
Country ID: 48, Cases: 11945, Recovered: 9124, Recovery Percentage: 76.38%
Country ID: 49, Cases: 9106, Recovered: 8954, Recovery Percentage: 98.33%
Country ID: 51, Cases: 16027, Recovered: 15953, Recovery Percentage: 99.54%
Country ID: 52, Cases: 25292, Recovered: 24760, Recovery Percentage: 97.90%
Country ID: 54, Cases: 22093, Recovered: 21596, Recovery Percentage: 97.75%
Country ID: 55, Cases: 18595, Recovered: 18115, Recovery Percentage: 97.42%
Country ID: 56, Cases: 16888, Recovered: 15638, Recovery Percentage: 92.60%
Country ID: 57, Cases: 9674, Recovered: 9493, Recovery Percentage: 98.13%
Country ID: 58, Cases: 20215, Recovered: 3487, Recovery Percentage: 17.25%
Country ID: 59, Cases: 16843, Recovered: 1605, Recovery Percentage: 9.53%
Country ID: 60, Cases: 45986, Recovered: 44720, Recovery Percentage: 97.25%
Country ID: 62, Cases: 31472, Recovered: 8553, Recovery Percentage: 27.18%
Country ID: 63, Cases: 27334, Recovered: 13182, Recovery Percentage: 48.23%
Country ID: 65, Cases: 38084, Recovered: 36366, Recovery Percentage: 95.49%
Country ID: 66, Cases: 69117, Recovered: 67226, Recovery Percentage: 97.26%
Country ID: 68, Cases: 44224, Recovered: 42438, Recovery Percentage: 95.96%
Country ID: 69, Cases: 63993, Recovered: 58947, Recovery Percentage: 92.11%
Country ID: 70, Cases: 57743, Recovered: 54578, Recovery Percentage: 94.52%
Country ID: 71, Cases: 62697, Recovered: 61564, Recovery Percentage: 98.19%
Country ID: 72, Cases: 28036, Recovered: 27847, Recovery Percentage: 99.33%
Country ID: 73, Cases: 43025, Recovered: 41278, Recovery Percentage: 95.94%
Country ID: 74, Cases: 54721, Recovered: 53569, Recovery Percentage: 97.89%
Country ID: 75, Cases: 33162, Recovered: 32332, Recovery Percentage: 97.50%
Country ID: 76, Cases: 64477, Recovered: 63755, Recovery Percentage: 98.88%
Country ID: 77, Cases: 39531, Recovered: 39216, Recovery Percentage: 99.20%
Country ID: 79, Cases: 46864, Recovered: 46168, Recovery Percentage: 98.51%
Country ID: 84, Cases: 49046, Recovered: 48674, Recovery Percentage: 99.24%
Country ID: 86, Cases: 30209, Recovered: 29798, Recovery Percentage: 98.64%
Country ID: 87, Cases: 89025, Recovered: 87024, Recovery Percentage: 97.75%
Country ID: 88, Cases: 88354, Recovered: 87497, Recovery Percentage: 99.03%
Country ID: 90, Cases: 73673, Recovered: 72013, Recovery Percentage: 97.75%
Country ID: 91, Cases: 68386, Recovered: 66862, Recovery Percentage: 97.77%
Country ID: 92, Cases: 63777, Recovered: 62471, Recovery Percentage: 97.95%
Country ID: 94, Cases: 38569, Recovered: 37757, Recovery Percentage: 97.89%
Country ID: 95, Cases: 75166, Recovered: 73116, Recovery Percentage: 97.27%
Country ID: 96, Cases: 51058, Recovered: 50845, Recovery Percentage: 99.58%
Country ID: 97, Cases: 35836, Recovered: 25980, Recovery Percentage: 72.50%
Country ID: 98, Cases: 34493, Recovered: 33372, Recovery Percentage: 96.75%
Country ID: 99, Cases: 98041, Recovered: 11254, Recovery Percentage: 11.48%
Country ID: 100, Cases: 101717, Recovered: 101321, Recovery Percentage: 99.61%
Country ID: 101, Cases: 334726, Recovered: 329428, Recovery Percentage: 98.42%
Country ID: 102, Cases: 253662, Recovered: 241486, Recovery Percentage: 95.20%
Country ID: 103, Cases: 206897, Recovered: 196406, Recovery Percentage: 94.93%
Country ID: 104, Cases: 186694, Recovered: 163687, Recovery Percentage: 87.68%
Country ID: 105, Cases: 110235, Recovered: 108647, Recovery Percentage: 98.56%
Country ID: 106, Cases: 133518, Recovered: 132039, Recovery Percentage: 98.89%
Country ID: 108, Cases: 344130, Recovered: 337309, Recovery Percentage: 98.02%
Country ID: 109, Cases: 191496, Recovered: 187078, Recovery Percentage: 97.69%
Country ID: 110, Cases: 171983, Recovered: 100431, Recovery Percentage: 58.40%
Country ID: 113, Cases: 349868, Recovered: 337068, Recovery Percentage: 96.34%
Country ID: 115, Cases: 294899, Recovered: 291794, Recovery Percentage: 98.95%
Country ID: 117, Cases: 106002, Recovered: 103419, Recovery Percentage: 97.56%
Country ID: 118, Cases: 99226, Recovered: 84489, Recovery Percentage: 85.15%
Country ID: 120, Cases: 267163, Recovered: 259953, Recovery Percentage: 97.30%
Country ID: 121, Cases: 265927, Recovered: 258888, Recovery Percentage: 97.35%
Country ID: 122, Cases: 233676, Recovered: 228805, Recovery Percentage: 97.92%
Country ID: 123, Cases: 201833, Recovered: 179410, Recovery Percentage: 88.89%
Country ID: 124, Cases: 172170, Recovered: 167099, Recovery Percentage: 97.05%
Country ID: 125, Cases: 271997, Recovered: 183061, Recovery Percentage: 67.30%
Country ID: 126, Cases: 330397, Recovered: 327049, Recovery Percentage: 98.99%
Country ID: 127, Cases: 403355, Recovered: 379084, Recovery Percentage: 93.98%
Country ID: 128, Cases: 349298, Recovered: 341316, Recovery Percentage: 97.71%
Country ID: 129, Cases: 120806, Recovered: 119504, Recovery Percentage: 98.92%
Country ID: 130, Cases: 171884, Recovered: 170417, Recovery Percentage: 99.15%
Country ID: 131, Cases: 125228, Recovered: 123237, Recovery Percentage: 98.41%
Country ID: 134, Cases: 138963, Recovered: 135900, Recovery Percentage: 97.80%
Country ID: 135, Cases: 229590, Recovered: 208756, Recovery Percentage: 90.93%
Country ID: 136, Cases: 315733, Recovered: 243601, Recovery Percentage: 77.15%
Country ID: 137, Cases: 994037, Recovered: 985592, Recovery Percentage: 99.15%
Country ID: 138, Cases: 552695, Recovered: 546537, Recovery Percentage: 98.89%
Country ID: 139, Cases: 516023, Recovered: 442182, Recovery Percentage: 85.69%
Country ID: 140, Cases: 514524, Recovered: 513687, Recovery Percentage: 99.84%
Country ID: 141, Cases: 670627, Recovered: 666104, Recovery Percentage: 99.33%
Country ID: 142, Cases: 1243838, Recovered: 1087587, Recovery Percentage: 87.44%
Country ID: 143, Cases: 507274, Recovered: 500835, Recovery Percentage: 98.73%
Country ID: 144, Cases: 1049089, Recovered: 1040268, Recovery Percentage: 99.16%
Country ID: 145, Cases: 1003450, Recovered: 991322, Recovery Percentage: 98.79%
Country ID: 149, Cases: 660854, Recovered: 659490, Recovery Percentage: 99.79%
Country ID: 150, Cases: 621008, Recovered: 615445, Recovery Percentage: 99.10%
Country ID: 155, Cases: 451107, Recovered: 435162, Recovery Percentage: 96.47%
Country ID: 156, Cases: 1210122, Recovered: 1177145, Recovery Percentage: 97.27%
Country ID: 157, Cases: 1040976, Recovered: 1030944, Recovery Percentage: 99.04%
Country ID: 158, Cases: 1277346, Recovered: 1258432, Recovery Percentage: 98.52%
Country ID: 159, Cases: 729549, Recovered: 727915, Recovery Percentage: 99.78%
Country ID: 160, Cases: 1115169, Recovered: 1106575, Recovery Percentage: 99.23%
Country ID: 161, Cases: 1070121, Recovered: 1034078, Recovery Percentage: 96.63%
Country ID: 163, Cases: 501087, Recovered: 488171, Recovery Percentage: 97.42%
Country ID: 164, Cases: 834172, Recovered: 823758, Recovery Percentage: 98.75%
Country ID: 166, Cases: 980474, Recovered: 971406, Recovery Percentage: 99.08%
Country ID: 167, Cases: 641383, Recovered: 620159, Recovery Percentage: 96.69%
Country ID: 168, Cases: 672639, Recovered: 655741, Recovery Percentage: 97.49%
Country ID: 170, Cases: 1011319, Recovered: 1009013, Recovery Percentage: 99.77%
Country ID: 171, Cases: 4772813, Recovered: 4772739, Recovery Percentage: 100.00%
